7zip 24.09-3
python-yaml 6.0.2-2
qt5-x11extras 5.15.16-3
qt5ct 1.8-2
qt6-charts 6.8.1-1
qt6-connectivity 6.8.1-1
qt6-imageformats 6.8.1-1
qt6-multimedia 6.8.1-2
qt6-positioning 6.8.1-1
qt6-quick3d 6.8.1-1
qt6-remoteobjects 6.8.1-1
qt6-sensors 6.8.1-1
qt6-serialport 6.8.1-1
qt6-speech 6.8.1-1
qt6-tools 6.8.1-1
qt6-webchannel 6.8.1-1
qt6-webengine 6.8.1-1
qt6-websockets 6.8.1-1
qt6ct 0.9-12
qtile 0.29.0-2
rar 7.01-1
reflector 2023-3
rlwrap 0.46.1-2
rocm-smi-lib 6.2.4-1
rofi 1.7.5-3
rrdtool 1.9.0-3
rsync 3.3.0-2
s-nail 14.9.24-2
sane-airscan 0.99.30-1
sdl12-compat 1.2.68-2
sdl_image 1.2.12-9
seahorse 1:47.0.1-2
shellcheck 0.10.0-19
shfmt 3.10.0-1
smartmontools 7.4-2
spectacle 24.12.0-1
spotube-bin 3.9.0-1
squashfs-tools 4.6.1-2
steam 1.0.0.81-2
syntax-highlighting 6.9.0-1
tcl 8.6.16-1
telegram-desktop 5.9.0-3
texinfo 7.1.1-1
texlive-bin 2024.2-5
tk 8.6.16-1
tldr 3.3.0-2
tlp 1.7.0-1
tlp-rdw 1.7.0-1
tlpui 2:1.7.1-1.1
tokyonight-gtk-theme-git r79.4dc45d60-1
traceroute 2.1.6-1
tree 2.1.3-1
ttf-0xproto-nerd 3.3.0-1
ttf-3270-nerd 3.3.0-1
ttf-agave-nerd 3.3.0-1
ttf-anonymouspro-nerd 3.3.0-1
ttf-arimo-nerd 3.3.0-1
ttf-bigblueterminal-nerd 3.3.0-1
ttf-bitstream-vera-mono-nerd 3.3.0-1
ttf-cascadia-code-nerd 3.3.0-1
ttf-cascadia-mono-nerd 3.3.0-1
ttf-cousine-nerd 3.3.0-1
ttf-d2coding-nerd 3.3.0-1
ttf-daddytime-mono-nerd 3.3.0-1
ttf-dejavu-nerd 3.3.0-1
ttf-droid 20121017-11
ttf-envycoder-nerd 3.3.0-1
ttf-fantasque-nerd 3.3.0-1
ttf-firacode-nerd 3.3.0-1
ttf-go-nerd 3.3.0-1
ttf-gohu-nerd 3.3.0-1
ttf-hack-nerd 3.3.0-1
ttf-heavydata-nerd 3.3.0-1
ttf-iawriter-nerd 3.3.0-1
ttf-ibmplex-mono-nerd 3.3.0-1
ttf-inconsolata-go-nerd 3.3.0-1
ttf-inconsolata-lgc-nerd 3.3.0-1
ttf-inconsolata-nerd 3.3.0-1
ttf-intone-nerd 3.3.0-1
ttf-iosevka-nerd 3.3.0-1
ttf-iosevkaterm-nerd 3.3.0-1
ttf-iosevkatermslab-nerd 3.3.0-1
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-lekton-nerd 3.3.0-1
ttf-liberation 2.1.5-2
ttf-liberation-mono-nerd 3.3.0-1
ttf-lilex-nerd 3.3.0-1
ttf-martian-mono-nerd 3.3.0-1
ttf-meslo-nerd 3.3.0-1
ttf-monofur-nerd 3.3.0-1
ttf-monoid-nerd 3.3.0-1
ttf-mononoki-nerd 3.3.0-1
ttf-mplus-nerd 3.3.0-1
ttf-nerd-fonts-symbols 3.3.0-1
ttf-nerd-fonts-symbols-mono 3.3.0-1
ttf-noto-nerd 3.3.0-1
ttf-profont-nerd 3.3.0-1
ttf-proggyclean-nerd 3.3.0-1
ttf-recursive-nerd 3.3.0-1
ttf-roboto 2.138-5
ttf-roboto-mono-nerd 3.3.0-1
ttf-sharetech-mono-nerd 3.3.0-1
ttf-sourcecodepro-nerd 3.3.0-1
ttf-space-mono-nerd 3.3.0-1
ttf-terminus-nerd 3.3.0-1
ttf-tinos-nerd 3.3.0-1
ttf-ubuntu-font-family 1:0.83-2
ttf-ubuntu-mono-nerd 3.3.0-1
ttf-ubuntu-nerd 3.3.0-1
ttf-victor-mono-nerd 3.3.0-1
ttf-zed-mono-nerd 3.3.0-1
tumbler 4.20.0-2
unixodbc 2.3.12-2
usbutils 018-1
vcdimager 2.0.1-4
ventoy-bin 1.0.99-1
vesktop 1.5.4-1.3
vicious 2.7.1-1
visual-studio-code-bin 1.96.2-1
vivaldi 7.0.3495.27-1
vivaldi-ffmpeg-codecs 130.0.6723.63-1
vkd3d 1.14-1
vlc 3.0.21-11
vtk 9.4.0-1
vulkan-extra-layers 1.3.298-1
vulkan-extra-tools 1.3.298-1
vulkan-mesa-layers 1:24.3.2-1
vulkan-radeon 1:24.3.2-1
vulkan-tools 1.4.303-2
vulkan-utility-libraries 1.4.303-1
vulkan-validation-layers 1.3.296.0-1
wallutils 5.12.9-1
waybar 0.11.0-4
webkit2gtk 2.46.5-1
wget 1.25.0-1
wine 9.22-1
wine-gecko 2.47.4-2
wine-mono 9.3.0-1
wmctrl 1.07-6
x11-ssh-askpass 1.2.4.1-8
xampp 8.2.12-1
xclip 0.13-6
xdg-desktop-portal-gtk 1.15.1-2
xdg-desktop-portal-hyprland 1.3.9-3
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.11-3
xdg-utils 1.2.1-1
xf86-video-amdgpu 23.0.0-2
xf86-video-fbdev 0.5.1-1
xf86-video-vesa 2.6.0-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-fonts-misc 1.0.4-2
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.15-1
xorg-server-common 21.1.15-1
xorg-server-devel 21.1.15-1
xorg-server-xephyr 21.1.15-1
xorg-server-xnest 21.1.15-1
xorg-server-xvfb 21.1.15-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.3-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.9-2
xorg-xinit 1.4.2-2
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xpr 1.2.0-1
xorg-xrandr 1.5.3-1
xorg-xrefresh 1.1.0-1
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.4-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xsel 1.2.1-2
yapf 0.40.2-3
yay 12.4.2-1.1
yay-debug 12.4.2-1
yelp 42.2-2
yt-dlp 2024.12.23-1
